Family;Group;Language;Location;Altitude;Longitude
Mayan;Mamean;Mam;Comitancillo;15.090556;-91.748611
Mayan;Mamean;Mam;Ixcán;15.988056;-90.781667
Mayan;Mamean;Mam;San Antonio Huista;15.65;-91.766667
Mayan;Mamean;Mam;Santa Ana Huista;15.683333;-91.816667
Mayan;Mamean;Mam;Unión Cantinil;15.605;-91.7189
Mayan;Mamean;Mam;San Pedro Nécta;15.5;-91.766667
Mayan;Mamean;Mam;Nentón;15.80122;-91.755234
Mayan;Mamean;Mam;Santa Cruz Barillas;15.80445;-91.315506
Mayan;Mamean;Mam;Samayac;14.582111;-91.460991
Mayan;Q'anjob'alan;Akateko;Nentón;15.80122;-91.755234
Mayan;Q'anjob'alan;Akateko;San Miguel Acatán;15.7;-91.616667
Mayan;Q'anjob'alan;Akateko;San Rafael La Independencia;15.716667;-91.533333
Mayan;Q'anjob'alan;Akateko;San Sebastián Coatán;15.733333;-91.566667
Mayan;Q'anjob'alan;Akateko;Concepción Huista;15.6167;-91.6833
Mayan;Q'anjob'alan;Akateko;Santa Cruz Barillas;15.80445;-91.315506
Mayan;Q'anjob'alan;Akateko;Acatenango;14.554444;-90.943889
Mayan;Q'anjob'alan;Akateko;San Miguel Ixtahuacán;15.25;-91.75
Mayan;Q'anjob'alan;Akateko;Samayac;14.582111;-91.460991
Mayan;Q'anjob'alan;Akateko;Sipacapa;15.212778;-91.634167
Mayan;Q'anjob'alan;Akateko;Pajapita;14.724261;-92.033442
Mayan;Q'anjob'alan;Akateko;San José El Rodeo;14.9167;-91.9667
Mayan;Q'anjob'alan;Akateko;El Tumbador;14.866667;-91.933333
Mayan;Q'anjob'alan;Chuj;Sipacapa;15.212778;-91.634167
Mayan;Q'anjob'alan;Chuj;San Sebastián Coatán;15.733333;-91.566667
Mayan;Q'anjob'alan;Chuj;Nentón;15.80122;-91.755234
Mayan;Q'anjob'alan;Chuj;Santa Cruz Barillas;15.80445;-91.315506
Mayan;Q'anjob'alan;Chuj;San Mateo Ixtatán;15.833333;-91.483333
Mayan;Q'anjob'alan;Chuj;San Cristóbal Cucho;14.9;-91.783333
Mayan;Q'anjob'alan;Chuj;Ocós;14.51381;-92.190903
Mayan;Q'anjob'alan;Popti';Concepción Huista;15.6167;-91.6833
Mayan;Q'anjob'alan;Popti';Ixcán;15.988056;-90.781667
Mayan;Q'anjob'alan;Popti';Jacaltenango;15.666667;-91.733333
Mayan;Q'anjob'alan;Popti';Nentón;15.80122;-91.755234
Mayan;Q'anjob'alan;Popti';San Antonio Huista;15.65;-91.766667
Mayan;Q'anjob'alan;Popti';Santa Ana Huista;15.683333;-91.816667
Mayan;Q'anjob'alan;Popti';San Marcos Huista;15.679837;-91.706636
Mayan;Q'anjob'alan;Popti';San Andrés Huista;15.723918;-91.732879
Mayan;Q'anjob'alan;Popti';San Miguel Acatán;15.7;-91.616667
Mayan;Q'anjob'alan;Popti';San Juan Ixcoy;15.6;-91.45
Mayan;Q'anjob'alan;Popti';San Mateo Ixtatán;15.833333;-91.483333
Mayan;Q'anjob'alan;Popti';Tacaná;15.241457;-92.068358
Mayan;Q'anjob'alan;Popti';Petatán;15.620984;-91.730884
Mayan;Q'anjob'alan;Popti';Pajapita;14.724261;-92.033442
Mayan;Q'anjob'alan;Q'anjob'al;Aguacatán;15.342949;-91.311982
Mayan;Q'anjob'alan;Q'anjob'al;San Juan Ixcoy;15.6;-91.45
Mayan;Q'anjob'alan;Q'anjob'al;San Pedro Soloma;15.716667;-91.45
Mayan;Q'anjob'alan;Q'anjob'al;Sibinal;15.133333;-92.05
Mayan;Q'anjob'alan;Q'anjob'al;Santa Eulalia;15.7333;-91.4586
Mayan;Q'anjob'alan;Q'anjob'al;Santa Cruz Barillas;15.80445;-91.315506
Mayan;Q'anjob'alan;Q'anjob'al;Ixcán;15.988056;-90.781667
Mayan;Q'anjob'alan;Q'anjob'al;San Antonio Huista;15.65;-91.766667
Mayan;Q'anjob'alan;Q'anjob'al;San Mateo Ixtatán;15.833333;-91.483333
Mayan;Q'anjob'alan;Q'anjob'al;Nentón;15.80122;-91.755234
Mayan;Q'anjob'alan;Q'anjob'al;Tajumulco;15.083889;-91.923333
Mayan;Q'anjob'alan;Q'anjob'al;Concepción Huista;15.6167;-91.6833
Mayan;Q'anjob'alan;Q'anjob'al;Tacaná;15.241457;-92.068358
Mayan;Q'anjob'alan;Q'anjob'al;Sipacapa;15.212778;-91.634167
